"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example","例句拼音
Sentence Pinyin"
182,【公共汽车】,gōnggòngqìchē,n.,bus,坐～去，要 20 分钟。,zuò 公 共 汽 车 qù ， yào   2 0   fēn 钟 。
183,【公司】,gōngsī,n.,company; firm,我在一个～上班。,wǒ zài yī gè 公 司 shàng bān 。
184,【狗】,gǒu,n.,dog,女儿很喜欢小～。,nǚ 儿 hěn 喜 欢 xiǎo gǒu 。
185,【贵】,guì,adj.,expensive; costly,这块手表很～。,这 kuài 手 表 hěn guì 。
186,【过】,guo,sa.,"used after a verb, referring to sth. that
happened previously",我没看～这本书。,wǒ 没 kàn guò 这 běn shū 。
187,【还】,hái,adv.,still; yet,他～没来呢。,tā huán 没 lái ne 。
187,【还】,hái,adv.,in addition,除了不吃肉，我～不吃鸡蛋。,除 le bù chī 肉 ， wǒ huán bù chī 鸡 蛋 。
188,【孩子】,háizi,n.,son or daughter,我有三个～。,wǒ yǒu sān gè 孩 子 。
188,【孩子】,háizi,n.,child,我们这里女～比男～多。,wǒ 们 这 lǐ nǚ 孩 子 bǐ nán 孩 子 duō 。
189,【好吃】,hǎochī,n.,delicious,您做的米饭真～。,nín zuò de mǐ 饭 zhēn hǎo chī 。
190,【黑】,hēi,adj.,black; dark,我不喜欢～颜色的衣服。,wǒ bù 喜 欢 hēi 颜 色 de 衣 服 。
191,【红】,hóng,adj.,red,我的自行车是～色的。,wǒ de 自 行 车 shì hóng 色 de 。
192,【欢迎】,huānyíng,v.,welcome,～你们来我们家。,欢 迎 nǐ 们 lái wǒ 们 jiā 。
193,【回答】,huídá,v.,answer; reply; respond,我能～这个问题。,wǒ néng huí 答 这 gè wèn tí 。
193,【回答】,huídá,n.,answer; reply; response,你的～不能让人满意。,nǐ de huí 答 bù néng ràng rén mǎn 意 。
194,【火车站】,huǒchēzhàn,n.,railway station,我下午 3 点去～。,wǒ xià 午   3   diǎn qù huǒ 车 zhàn 。
195,【机场】,jīchǎng,n.,airport,我在～工作了三年了。,wǒ zài 机 chǎng 工 作 le sān nián le 。
196,【鸡蛋】,jīdàn,n.,egg,我每天早上都要吃个～。,wǒ měi 天 早 shàng dōu yào chī gè 鸡 蛋 。
197,【件】,jiàn,nm.,used for clothes and things,这～衣服颜色非常好看。,这 jiàn 衣 服 颜 色 非 常 hǎo kàn 。
198,【教室】,jiàoshì,n.,classroom,请大家都到～去上课。,qǐng dà jiā dōu dào jiāo 室 qù shàng kè 。
199,【姐姐】,jiějie,n.,elder sister,我有两个～。,wǒ yǒu liǎng gè 姐 姐 。
200,【介绍】,jièshào,v.,introduce sb. or sth.,我来～一下我的朋友。,wǒ lái 介 绍 yī xià wǒ de 朋 友 。
200,【介绍】,jièshào,n.,an introduction,我在报纸上看到了这个电影的～。,wǒ zài 报 纸 shàng kàn dào le 这 gè 电 影 de 介 绍 。
201,【进】,jìn,v.,enter,我马上要～机场了。,wǒ mǎ shàng yào jìn 机 chǎng le 。
202,【近】,jìn,adj.,close; near,我们家离公司很～。,wǒ 们 jiā lí 公 司 hěn jìn 。
202,【近】,jìn,adj.,intimate,我跟小王的关系很～。,wǒ gēn xiǎo 王 de guān 系 hěn jìn 。
203,【就】,jiù,adv.,indicating certainty; right on,我～知道他会来的。,wǒ jiù 知 道 tā huì lái de 。
203,【就】,jiù,adv.,immediately; right now; right away,我一到家～给他打电话。,wǒ yī dào jiā jiù gěi tā 打 电 话 。
204,【觉得】,juéde,v.,feel; think,你～这本书怎么样？,nǐ 觉 de 这 běn shū 怎 么 样 ？
205,【咖啡】,kāfēi,n.,coffee,您想喝～，还是茶？,nín xiǎng hē 咖 啡 ， huán shì chá ？
206,【开始】,kāishǐ,v.,start; begin,我们从第十课～学习。,wǒ 们 cóng 第 shí kè kāi 始 学 习 。
206,【开始】,kāishǐ,n.,beginning,（学汉字）～可能会觉得有点难。,（ 学 汉 zì ） kāi 始 可 néng huì 觉 de yǒu diǎn nán 。
207,【考试】,kǎoshì,n.,examination / take a test,为了准备～，他每天都学习到很晚。,wèi le 准 备 考 shì ， tā měi 天 dōu 学 习 dào hěn 晚 。
208,【可能】,kěnéng,aux.,may; can,我～不能去上班了。,wǒ 可 néng bù néng qù shàng bān le 。
208,【可能】,kěnéng,adj.,possible; probable; likely,这件事，完全是～的。,这 jiàn 事 ， wán 全 shì 可 néng de 。
209,【可以】,kěyǐ,aux.,can; may,你～开我的车去上班。,nǐ 可 以 kāi wǒ de 车 qù shàng bān 。
209,【可以】,kěyǐ,adj.,not bad; passable; pretty good,这个菜做得还～。,这 gè cài zuò de huán 可 以 。
210,【课】,kè,n.,lesson,今天我们学习第一～。,今 天 wǒ 们 学 习 第 yī kè 。
210,【课】,kè,n.,class,现在，我们上～。,现 zài ， wǒ 们 shàng kè 。
211,【快】,kuài,adj.,fast,他跑得真～。,tā 跑 de zhēn kuài 。
211,【快】,kuài,adv.,be going to; will; shall,7 点 50 了，～上课了,7   diǎn   5 0   le ， kuài shàng kè le
212,【快乐】,kuàilè,adj.,happy; joyful; cheerful; glad,祝你生日～！,祝 nǐ 生 rì kuài 乐 ！
212,【快乐】,kuàilè,n.,happiness; joy; pleasure; delight,女儿给我的生活带来很多～。,nǚ 儿 gěi wǒ de 生 活 dài lái hěn duō kuài 乐 。
213,【累】,lèi,adj.,tired; fatigued,我～了，想休息。,wǒ lèi le ， xiǎng 休 息 。
214,【离】,lí,prep.,away from,我家～学校很近。,wǒ jiā lí 学 校 hěn jìn 。
215,【两】,liǎng,num.,two,苹果～块钱一斤。,苹 果 liǎng kuài qián yī 斤 。
216,【路】,lù,n.,road,我每天走～去上学。,wǒ měi 天 zǒu lù qù shàng 学 。
216,【路】,lù,nm.,used to indicate a bus route,我们可以坐 10～公共汽车去。,wǒ 们 可 以 zuò   1 0 lù 公 共 汽 车 qù 。
217,【旅游】,lǚyóu,v.,travel,我们开车去～。,wǒ 们 kāi 车 qù 旅 游 。
218,【卖】,mài,v.,sell,这个商店～的东西比较便宜。,这 gè 商 店 mài de dōng xī bǐ 较 便 宜 。
219,【慢】,màn,adj.,slow,我们走得很～。,wǒ 们 zǒu de hěn màn 。
220,【忙】,máng,adj.,busy,这个星期，我很～。,这 gè 星 期 ， wǒ hěn máng 。
220,【忙】,máng,v.,be busy doing sth.,你在～什么呢？,nǐ zài máng 什 么 ne ？
221,【猫】,māo,n.,cat,你的小～去哪儿了？,nǐ de xiǎo māo qù nǎ 儿 le ？
222,【每】,měi,pron.,every; each,你～天都看报纸吗？,nǐ měi 天 dōu kàn 报 纸 ma ？
223,【妹妹】,mèimei,n.,younger sister,我有两个～。,wǒ yǒu liǎng gè 妹 妹 。
224,【门】,mén,n.,exits and entrances; doorways,我在～外等你。,wǒ zài mén wài děng nǐ 。
224,【门】,mén,nm.,used for curriculum in school,今年我有五～课。,今 nián wǒ yǒu wǔ mén kè 。
225,【男】,nán,n.,man; male,我不认识那个～人。,wǒ bù 认 识 那 gè nán rén 。
226,【您】,nín,pron.,"you or your (used to address someone
with respect)",老师，～好！,lǎo 师 ， nín hǎo ！
227,【牛奶】,niúnǎi,n.,milk,睡觉前喝杯～吧。,睡 觉 前 hē 杯 牛 奶 ba 。
228,【女】,nǚ,n.,woman; female,那个～人你认识吗？,那 gè nǚ rén nǐ 认 识 ma ？
229,【旁边】,pángbiān,n.,side; by the side of; nearby,爸爸在我～。,爸 爸 zài wǒ 旁 边 。
230,【跑步】,pǎobù,v.,run; jog,我每天早上都～。,wǒ měi 天 早 shàng dōu 跑 步 。
231,【便宜】,piányi,adj.,cheap; inexpensive,苹果很～，我们买点儿吧。,苹 果 hěn 便 宜 ， wǒ 们 mǎi diǎn 儿 ba 。
232,【票】,piào,n.,ticket,我要去火车站买车～。,wǒ yào qù huǒ 车 zhàn mǎi 车 piào 。
233,【妻子】,qīzi,n.,wife,我～上班去了。,wǒ 妻 子 shàng bān qù le 。
234,【起床】,qǐchuáng,v.,rise (from bed); get up,我早上七点～。,wǒ 早 shàng qī diǎn 起 床 。
235,【千】,qiān,num.,thousand,这个手机一～元。,这 gè 手 机 yī qiān yuán 。
236,【铅笔】,qiānbǐ,n.,pencil,你看见我的～了吗？,nǐ kàn 见 wǒ de 铅 笔 le ma ？
237,【晴】,qíng,adj.,fine; clear,今天是～天。,今 天 shì qíng 天 。
238,【去年】,qùnián,n.,last year,我是～8 月来北京的。,wǒ shì qù nián 8   yuè lái 北 京 de 。
239,【让】,ràng,v.,let; allow; make; ask,他爸爸不～他来。,tā 爸 爸 bù ràng tā lái 。
239,【让】,ràng,v,transfer the ownership to,他把座位～给了一位老人。,tā bǎ 座 wèi ràng gěi le yī wèi lǎo rén 。
240,【日】,rì,n.,day or date,今天是 2012 年 2 月 26～。,今 天 shì   2 0 1 2   nián   2   yuè   2 6 rì 。
241,【上班】,shàngbān,v.,go to work; start work,我七点半去～。,wǒ qī diǎn bàn qù shàng bān 。
242,【身体】,shēntǐ,n.,body (of a human or animal),今天我的～不太舒服。,今 天 wǒ de 身 体 bù tài 舒 服 。
243,【生病】,shēngbìng,v.,fall sick;fall ill; get ill; be taken ill,我～了，不能去上班了。,wǒ 生 病 le ， bù néng qù shàng bān le 。
244,【生日】,shēngrì,n.,birthday,祝你～快乐！,祝 nǐ 生 rì kuài 乐 ！
245,【时间】,shíjiān,n.,time,我没～去北京。,wǒ 没 时 间 qù 北 京 。
246,【事情】,shìqing,n.,"matter; business; circumstance; event;
affair; incident; occurrence",你下午有什么～吗？,nǐ xià 午 yǒu 什 么 事 情 ma ？
247,【手表】,shǒubiǎo,n.,wrist watch; watch,这块～非常漂亮。,这 kuài 手 表 非 常 漂 亮 。
248,【手机】,shǒujī,n.,mobile phone,你看，我新买了一个～。,nǐ kàn ， wǒ xīn mǎi le yī gè 手 机 。
249,【送】,sòng,v.,give sb. sth. as a gift,我～你一本书。,wǒ sòng nǐ yī běn shū 。
249,【送】,sòng,v.,"see sb off; escort or provide transportation
for sb.",我去～一个朋友。,wǒ qù sòng yī gè 朋 友 。
250,【虽然……但是……】,suīrán…dànshì…,conj.,though;but; however,～下雨了，～我们还是想去看电影。,虽 然 … … 但 shì … … xià yǔ le ， 虽 然 … … 但 shì … … wǒ 们 huán shì xiǎng qù kàn 电 影 。
251,【它】,tā,pron.,it; its,我知道小猫在哪儿，～在桌子下面。,wǒ 知 道 xiǎo māo zài nǎ 儿 ， tā zài 桌 子 xià 面 。
252,【踢足球】,tī zúqiú,pron.,play soccer,我和同学们在～。,wǒ hé 同 学 们 zài 踢 足 球 。
253,【题】,tí,n.,"questions, problems (in a test or a quiz)",这个～我不会做。,这 gè tí wǒ bù huì zuò 。
254,【跳舞】,tiàowǔ,sv.,dance,妹妹会唱歌，也会～。,妹 妹 huì 唱 歌 ， yě huì 跳 舞 。
255,【外】,wài,n.,outer; outside,～面下雨了。,wài 面 xià yǔ le 。
255,【外】,wài,n.,"not of one's own family, clan, class,
coterie, locality, school, etc.",那些学生是～校的。,那 xiē 学 生 shì wài 校 de 。
256,【完】,wán,v.,indicating finished; be used up; run out,这本书我看～了。,这 běn shū wǒ kàn wán le 。
257,【玩】,wán,v.,play,他在～，没有学习。,tā zài wán ， 没 yǒu 学 习 。
258,【晚上】,wǎnshang,n.,evening,今天～我不能看电视了。,今 天 晚 shàng wǒ bù néng kàn 电 视 le 。
259,【为什么】,wèi shénme,n.,why,你～不喝点儿水呢？,nǐ wèi 什 么 bù hē diǎn 儿 shuǐ ne ？
260,【问】,wèn,v.,ask; inquire after,老师，我可以～你一个问题吗？,lǎo 师 ， wǒ 可 以 wèn nǐ yī gè wèn tí ma ？
261,【问题】,wèntí,n.,question; problem,这个～太难了！,这 gè wèn tí tài nán le ！
262,【西瓜】,xīguā,n.,watermelon,请吃块儿～。,qǐng chī kuài 儿 xī 瓜 。
263,【希望】,xīwàng,v.,hope; wish; want; be desirous of,我～你别走了。,wǒ 希 望 nǐ bié zǒu le 。
263,【希望】,xīwàng,n.,hope; wish,孩子是爸爸、妈妈的～。,孩 子 shì 爸 爸 、 妈 妈 de 希 望 。
264,【洗】,xǐ,v.,wash,今天我要～很多衣服。,今 天 wǒ yào xǐ hěn duō 衣 服 。
264,【洗】,xǐ,v.,develope and print (a picture),照片要三天才能～出来。,照 片 yào sān 天 cái néng xǐ chū lái 。
265,【小时】,xiǎoshí,n.,hour,我看了一～的书。,wǒ kàn le yī xiǎo 时 de shū 。
266,【笑】,xiào,v.,laugh; smile,听到他这么说，我们都～了。,tīng dào tā 这 么 shuō ， wǒ 们 dōu xiào le 。
267,【新】,xīn,adj.,new; up-to-date,这是我买的～衣服。,这 shì wǒ mǎi de xīn 衣 服 。
268,【姓】,xìng,n.,surname,中国人的～在名字的前面。,中 国 rén de xìng zài 名 zì de 前 面 。
268,【姓】,xìng,v.,take … as surname,我～张。,wǒ xìng zhāng 。
269,【休息】,xiūxi,v.,relax; have a rest; take a break,太累了，让我～一下。,tài lèi le ， ràng wǒ 休 息 yī xià 。
270,【雪】,xuě,n.,snow,今年冬天下了几次大～。,今 nián dōng 天 xià le jǐ cì dà xuě 。
271,【颜色】,yánsè,n.,color,你喜欢哪种～？,nǐ 喜 欢 nǎ zhǒng 颜 色 ？
272,【眼睛】,yǎnjing,n.,eye,我的～是黑色的。,wǒ de 眼 睛 shì hēi 色 de 。
273,【羊肉】,yángròu,n.,mutton,有些人不爱吃～。,yǒu xiē rén bù ài chī 羊 肉 。
274,【药】,yào,n.,medicine,这个～一天吃三次。,这 gè yào yī 天 chī sān cì 。
275,【要】,yào,aux.,hope; want; wish,我～去北京。,wǒ yào qù 北 京 。
275,【要】,yào,v.,request; ask sb. to do sth..,妈妈～我去买菜。,妈 妈 yào wǒ qù mǎi cài 。
275,【要】,yào,aux.,ought to; might; must; should,你～认真地做这件事。,nǐ yào 认 zhēn de zuò 这 jiàn 事 。
275,【要】,yào,aux.,be going to; shall; will,～下雨了。,yào xià yǔ le 。
275,【要】,yào,v.,cost; take,一斤菜～两块钱。,yī 斤 cài yào liǎng kuài qián 。
276,【也】,yě,adv.,also; too; as well; either,你去，我～去。,nǐ qù ， wǒ yě qù 。
277,【一下】,yíxià,vm.,once; in a short while,请等我～。,qǐng děng wǒ yī xià 。
278,【一起】,yìqǐ,adv.,together,我和你～去北京。,wǒ hé nǐ yī 起 qù 北 京 。
279,【已经】,yǐjīng,adv.,already; yet,我们～吃完饭了。,wǒ 们 已 经 chī wán 饭 le 。
280,【意思】,yìsi,n.,meaning; content; indication; hint,这个词是什么～？,这 gè 词 shì 什 么 意 思 ？
280,【意思】,yìsi,n.,opinion; idea; concept,把你的～告诉我吧。,bǎ nǐ de 意 思 告 诉 wǒ ba 。
280,【意思】,yìsi,n.,fun; interest; enjoyment,这个电影真有～。,这 gè 电 影 zhēn yǒu 意 思 。
281,【因为……所以……】,yīnwèi…suǒyǐ…,conj.,on account of; because of,～下雨了，～我没去跑步。,因 wèi … … 所 以 … … xià yǔ le ， 因 wèi … … 所 以 … … wǒ 没 qù 跑 步 。
282,【阴】,yīn,adj.,cloudy; overcast,今天是～天。,今 天 shì yīn 天 。
283,【游泳】,yóuyǒng,v.,swim,我会～了。,wǒ huì 游 泳 le 。
284,【右边】,yòubian,n.,right; right side,王医生～那个人是谁？,王 医 生 右 边 那 gè rén shì shéi ？
285,【鱼】,yú,n.,fish,水里有很多～。,shuǐ lǐ yǒu hěn duō yú 。
286,【远】,yuǎn,adj.,far,我家离公司很～。,wǒ jiā lí 公 司 hěn yuǎn 。
287,【运动】,yùndòng,v.,take exercise,我们都很喜欢～。,wǒ 们 dōu hěn 喜 欢 运 动 。
288,【再】,zài,adv.,again,我吃完饭～去商店。,wǒ chī wán 饭 zài qù 商 店 。
288,【再】,zài,adv.,more; further,～高点儿，现在太低了。,zài gāo diǎn 儿 ， 现 zài tài dī le 。
289,【早上】,zǎoshang,n.,morning,我～看见过他。,wǒ 早 shàng kàn 见 guò tā 。
290,【丈夫】,zhàngfu,n.,husband,我～在医院工作。,wǒ 丈 夫 zài 医 院 工 作 。
291,【找】,zhǎo,v.,seek; look for,他想～一个工作。,tā xiǎng zhǎo yī gè 工 作 。
292,【着】,zhe,sa.,"used after a verb, indicating that the action
starts and continues",他笑～说：“你不认识我，但是我认识你。”,tā xiào zhe shuō ： “ nǐ bù 认 识 wǒ ， 但 shì wǒ 认 识 nǐ 。 ”
293,【真】,zhēn,adv.,indeed; really,这个人～高。,这 gè rén zhēn gāo 。
294,【正在】,zhèngzài,adv.,"be + verb + ing; in the process of; in the
course of; in the middle of; in the act of",弟弟～打篮球。,弟 弟 正 zài 打 篮 球 。
295,【知道】,zhīdào,v.,know; be aware of,我不～他现在在哪里。,wǒ bù 知 道 tā 现 zài zài nǎ lǐ 。
296,【准备】,zhǔnbèi,v.,be going to; intend; plan; prepare,我～星期日去北京。,wǒ 准 备 星 期 rì qù 北 京 。
296,【准备】,zhǔnbèi,n.,preparation; arrangement,我在为考试做～。,wǒ zài wèi 考 shì zuò 准 备 。
297,【自行车】,zìxíngchē,n.,bicycle,这是我新买的～。,这 shì wǒ xīn mǎi de 自 行 车 。
298,【走】,zǒu,v.,walk; go on foot,我女儿 9 个月就会～了。,wǒ nǚ 儿   9   gè yuè jiù huì zǒu le 。
298,【走】,zǒu,v.,leave; go away; depart,我～了，再见！,wǒ zǒu le ， zài 见 ！
299,【最】,zuì,adv.,the most,她是我～好的朋友。,tā shì wǒ zuì hǎo de 朋 友 。
300,【左边】,zuǒbian,n.,left; left side,～的那个杯子是你的，右边的是我的。,左 边 de 那 gè 杯 子 shì nǐ de ， 右 边 de shì wǒ de 。
301,【阿姨】,āyí,n.,aunt,～，附近有地铁站吗？,阿 姨 ， 附 jìn yǒu de 铁 zhàn ma ？
302,【啊】,a,int.,"used to express surprise,exclamation or promise","～，这儿的环境多么好啊！你们家住在哪儿～？
～，好的，我现在就去。","a ， 这 儿 de 环 境 duō 么 hǎo a ！ nǐ 们 jiā zhù zài nǎ 儿 a ？ 
 a ， hǎo de ， wǒ 现 zài jiù qù 。"
303,【矮】,ǎi,adj.,"short, low",弟弟的个子比我～。,弟 弟 de gè 子 bǐ wǒ ǎi 。
304,【爱好】,àihào,n.,hobby; an interest; fancy,我最大的～就是打篮球。,wǒ zuì dà de ài hǎo jiù shì 打 篮 球 。
304,【爱好】,àihào,v.,be fond of or keen on; have a taste for,我从小就～音乐。,wǒ cóng xiǎo jiù ài hǎo 音 乐 。
305,【安静】,ānjìng,adj.,noiseless; quiet; calm,因为教室里没什么人，所以很～。,因 wèi jiāo 室 lǐ 没 什 么 rén ， 所 以 hěn 安 静 。
305,【安静】,ānjìng,v.,quiet down; keep silent,孩子们都睡着了，家里～了下来。,孩 子 们 dōu 睡 zhe le ， jiā lǐ 安 静 le xià lái 。
306,【把】,bǎ,prep.,"dealing with, used before an object,
followed by a transitive verb",请～桌子上的铅笔给我。,qǐng bǎ 桌 子 shàng de 铅 笔 gěi wǒ 。
306,【把】,bǎ,nm.,used for things with a handle,房间里有四～椅子。,房 间 lǐ yǒu sì bǎ 椅 子 。
307,【班】,bān,n.,class,我在三年级二～。,wǒ zài sān nián 级 èr bān 。
308,【搬】,bān,v.,carry; move,请帮我把这张桌子～到楼下好吗？,qǐng 帮 wǒ bǎ 这 zhāng 桌 子 bān dào lóu xià hǎo ma ？
309,【办法】,bànfǎ,n.,"way; means; measure; step to take;
method; resource",你别急，我们再想想～。,nǐ bié 急 ， wǒ 们 zài xiǎng xiǎng 办 法 。
310,【办公室】,bàngōngshì,n.,office,请问，校长～怎么走？,qǐng wèn ， 校 cháng 办 公 室 怎 么 zǒu ？
311,【半】,bàn,num.,half,现在是三点～。,现 zài shì sān diǎn bàn 。
312,【帮忙】,bāngmáng,v.,"help; give a helping hand; do a favor; lend
a hand",因为有你～，这件事情处理得很好。,因 wèi yǒu nǐ 帮 máng ， 这 jiàn 事 情 处 理 de hěn hǎo 。
313,【包】,bāo,n.,bag,我的～忘在房间里了。,wǒ de bāo 忘 zài 房 间 lǐ le 。
314,【饱】,bǎo,adj.,"not hungry, full",我已经吃～了。,wǒ 已 经 chī bǎo le 。
315,【北方】,běifāng,n.,north,冬天，～比南方冷多了。,dōng 天 ， 北 方 bǐ nán 方 lěng duō le 。
316,【被】,bèi,prep.,"be made or forced, indicating passive
voice",词典～王老师拿走了。,词 典 bèi 王 lǎo 师 ná zǒu le 。
317,【鼻子】,bízi,n.,nose,姐姐的～很高，很漂亮。,姐 姐 de 鼻 子 hěn gāo ， hěn 漂 亮 。
318,【比较】,bǐjiào,adv.,fairly; quite,今天天气～冷。,今 天 天 气 bǐ 较 lěng 。
319,【比赛】,bǐsài,n.,competition,今天晚上有足球～。,今 天 晚 shàng yǒu 足 球 bǐ 赛 。
319,【比赛】,bǐsài,v.,compete,我们～跑步吧。,wǒ 们 bǐ 赛 跑 步 ba 。
320,【笔记本】,bǐjìběn,n.,notebook,老师讲的内容，我都写在～上了。,lǎo 师 jiǎng de nèi 容 ， wǒ dōu xiě zài 笔 记 běn shàng le 。
320,【笔记本】,bǐjìběn,n.,laptop,你看，这是我新买的～。,nǐ kàn ， 这 shì wǒ xīn mǎi de 笔 记 běn 。
321,【必须】,bìxū,adv.,must; have to,我今天～去上班。,wǒ 今 天 必 须 qù shàng bān 。
322,【变化】,biànhuà,n.,change; variation,十年不见，他好像没什么～。,shí nián bù 见 ， tā hǎo xiàng 没 什 么 变 化 。
322,【变化】,biànhuà,v.,change; vary,城市～得太快了。,城 市 变 化 de tài kuài le 。
323,【别人】,biéren,pron.,other people; another person,～都走了，为什么你还在这里？,bié rén dōu zǒu le ， wèi 什 么 nǐ huán zài 这 lǐ ？
324,【宾馆】,bīnguǎn,n.,hotel,这是我们这儿最大的～，可以住 300 个客人。,这 shì wǒ 们 这 儿 zuì dà de 宾 馆 ， 可 以 zhù   3 0 0   gè 客 rén 。
325,【冰箱】,bīngxiāng,n.,refrigerator,妈妈把刚买的鱼放进了～。,妈 妈 bǎ 刚 mǎi de yú fàng jìn le 冰 箱 。
326,【不但……而且……】,"búdàn…
érqiě…",conj.,moreover; not only… but also…,妹妹～喜欢唱歌，～爱跳舞。,妹 妹 bù 但 … … ér 且 … … 喜 欢 唱 歌 ， bù 但 … … ér 且 … … ài 跳 舞 。
327,【才】,cái,adv.,"late, indicating just happened",他 30 岁～读完大学。,tā   3 0   suì cái dú wán dà 学 。
327,【才】,cái,adv.,just; only (indicating only one solution),这件事，只有他～能做好。,这 jiàn 事 ， zhǐ yǒu tā cái néng zuò hǎo 。
328,【菜单】,càidān,n.,menu,服务员，请帮我拿一下～。,服 务 员 ， qǐng 帮 wǒ ná yī xià cài 单 。
329,【参加】,cānjiā,v.,join; take part in; attend,这次会议有两百多人～。,这 cì huì 议 yǒu liǎng bǎi duō rén 参 加 。
330,【草】,cǎo,n.,grass; straw,春天来了，小～绿了。,chūn 天 lái le ， xiǎo cǎo lǜ le 。
331,【层】,céng,nm.,"layer, floor, etc.( used for things that have
separate levels)",我住在三～，306。,wǒ zhù zài sān céng ， 3 0 6 。
332,【差】,chà,adj.,bad; poor,我这次考试考得很～。,wǒ 这 cì 考 shì 考 de hěn chà 。
332,【差】,chà,v.,fall short of; owe,现在是～5 分 12 点。,现 zài shì chà 5   fēn   1 2   diǎn 。
333,【长】,cháng,adj,long,姐姐的头发又黑又～。,姐 姐 de 头 fā yòu hēi yòu cháng 。
334,【超市】,chāoshì,n.,supermarket,这家～里的东西比较便宜。,这 jiā 超 市 lǐ de dōng xī bǐ 较 便 宜 。
335,【衬衫】,chènshān,n.,shirt,今天我穿这件～。,今 天 wǒ chuān 这 jiàn 衬 衫 。
336,【成绩】,chéngjì,n.,score,我们可以在网上查到考试～。,wǒ 们 可 以 zài 网 shàng 查 dào 考 shì 成 绩 。
337,【城市】,chéngshì,n.,city,我已经喜欢上了这个～。,wǒ 已 经 喜 欢 shàng le 这 gè 城 市 。
338,【迟到】,chídào,v.,be late,对不起，我今天又～了。,duì bù 起 ， wǒ 今 天 yòu 迟 dào le 。
339,【出现】,chūxiàn,v.,"come out , happen; show up; appear",我们等了他一个小时，他也没有～。我们工作中～了不少问题。,wǒ 们 děng le tā yī gè xiǎo 时 ， tā yě 没 yǒu chū 现 。 wǒ 们 工 作 中 chū 现 le bù shǎo wèn tí 。
340,【除了】,chúle,prep.,except (for); besides; in addition to,～小王，其他人都来了。,除 le xiǎo 王 ， 其 tā rén dōu lái le 。
341,【船】,chuán,n.,boat; ship,你可以坐～去上海。,nǐ 可 以 zuò chuán qù shàng 海 。
342,【春】,chūn,n.,spring (one of the four seasons),～天是一年的开始。,chūn 天 shì yī nián de kāi 始 。
343,【词典】,cídiǎn,n.,dictionary,这本～对我的学习很有帮助。,这 běn 词 典 duì wǒ de 学 习 hěn yǒu 帮 助 。
344,【聪明】,cōngming,adj.,bright; clever; intelligent,弟弟不但很～，而且很爱学习。,弟 弟 bù 但 hěn 聪 明 ， ér 且 hěn ài 学 习 。
345,【打扫】,dǎsǎo,v.,clean; sweep,我准备周末把房间～一下。,wǒ 准 备 周 末 bǎ 房 间 打 扫 yī xià 。
346,【打算】,dǎsuàn,v.,be going to do sth.; plan to,我～下个星期去旅游。,wǒ 打 算 xià gè 星 期 qù 旅 游 。
346,【打算】,dǎsuàn,n.,plan,我还没有结婚的～。,wǒ huán 没 yǒu 结 婚 de 打 算 。
347,【带】,dài,v.,carry; take; bring; bear,我今天忘记～钱包了。,wǒ 今 天 忘 记 dài qián bāo le 。
348,【担心】,dānxīn,v.,worry; be anxious; feel concerned,爷爷住院了，我很～。,爷 爷 zhù 院 le ， wǒ hěn 担 心 。
349,【蛋糕】,dàngāo,n.,cake,你饿了吗？先吃块～吧。,nǐ è le ma ？ xiān chī kuài 蛋 糕 ba 。
350,【当然】,dāngrán,adv..,of course; naturally; certainly,你生病了，我～要来看看你。,nǐ 生 病 le ， wǒ 当 然 yào lái kàn kàn nǐ 。
351,【灯】,dēng,n.,lamp,房间里的～怎么不亮了？,房 间 lǐ de dēng 怎 么 bù 亮 le ？
352,【地】,de,sa.,marker of adverbial,天慢慢～黑了。,天 màn màn de hēi le 。
353,【地方】,dìfang,n.,place,这个～我来过三次了。,这 gè de 方 wǒ lái guò sān cì le 。
354,【地铁】,dìtiě,n.,subway,我们先坐三站～，再走一会儿就到了。,wǒ 们 xiān zuò sān zhàn de 铁 ， zài zǒu yī huì 儿 jiù dào le 。
355,【地图】,dìtú,n.,map,我的手机上有电子～。,wǒ de 手 机 shàng yǒu 电 子 de 图 。
356,【电梯】,diàntī,n.,elevator,我们坐～上去吧。,wǒ 们 zuò 电 梯 shàng qù ba 。
357,【电子邮件】,diànzǐyóujiàn,n.,email,我晚上再给你发个～。,wǒ 晚 shàng zài gěi nǐ fā gè 电 子 邮 jiàn 。
358,【东】,dōng,n.,east,你一直向～走就到了。,nǐ yī 直 xiàng dōng zǒu jiù dào le 。
359,【冬】,dōng,n.,winter,北方的～天很冷。,北 方 de dōng 天 hěn lěng 。
360,【动物园】,dòngwùyuán,n.,zoo,～里有一百多种动物。,动 物 园 lǐ yǒu yī bǎi duō zhǒng 动 物 。
361,【短】,duǎn,adj.,short,这件事在～时间内很难做完。,这 jiàn 事 zài duǎn 时 间 nèi hěn nán zuò wán 。
362,【段】,duàn,nm.,"passage, paragraph (of an article); period
(of time); section (of a distance)",这～时间我很忙。,这 duàn 时 间 wǒ hěn máng 。
363,【锻炼】,duànliàn,v.,do physical training; to take exercise,我每天早上都去～身体。,wǒ měi 天 早 shàng dōu qù 锻 炼 身 体 。
364,【多么】,duōme,adv.,"how (wonderful, etc.)",这里～漂亮啊！,这 lǐ duō 么 漂 亮 a ！
